road	R856
km	22.175
type	PC Girder Bridge
lrpName	LRP022a
name	
length	10
condition	A
structureNr	120565
est cost	2.205
roadName	Noapara (Katakhali)-Fakirhat-Mollahat Road
chainage	22.175
width	
constructionYear	
spans	
zone	Khulna
circle	Khulna
division	Bagerhat
sub-division	Bagerhat-2
lat	
lon	
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120565&vRoadID=162&vSurveyYear=2013&vSubdivID=320
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120565&vRoadID=162&vSurveyYear=2013&vSubdivID=320
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120565&vRoadID=162&vSurveyYear=2013&vSubdivID=320
