road	N110
km	5.24
type	Box Culvert
lrpName	LRP005b
name	KALAZALI HOTTEL
length	3.2
condition	A
structureNr	105036
est cost	0
roadName	Link Road(at N1)-Cox`s Bazar (Laboni More) Road
chainage	5.24
width	10
constructionYear	1986
spans	2
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.421805555555558
lon	91.98097222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105036&vRoadID=10&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105036&vRoadID=10&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105036&vRoadID=10&vSurveyYear=2004&vSubdivID=282
