road	N3
km	46.122
type	Box Culvert
lrpName	LRP046a
name	N B BAZAR
length	1.5
condition	A
structureNr	101453
est cost	0
roadName	Dhaka (Banani)-Joydebpur-Mymensingh Road
chainage	46.122
width	12.2
constructionYear	1989
spans	1
zone	Dhaka
circle	Dhaka
division	Gazipur
sub-division	Joydepur-1
lat	24.198222222222224
lon	90.43155555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101453&vRoadID=19&vSurveyYear=2004&vSubdivID=513
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101453&vRoadID=19&vSurveyYear=2004&vSubdivID=513
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101453&vRoadID=19&vSurveyYear=2004&vSubdivID=513
