road	N108
km	14.577
type	Box Culvert
lrpName	LRP014d
name	LEICHA BOX CULVERT
length	3
condition	A
structureNr	101759
est cost	0
roadName	Keranirhat-Bandarban Road
chainage	14.577
width	10.3
constructionYear	1985
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.158916666666666
lon	92.17705555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101759&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101759&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101759&vRoadID=8&vSurveyYear=2004&vSubdivID=286
