road	R557
km	3.532
type	Box Culvert
lrpName	LRP003e
name	.
length	1.38
condition	A
structureNr	109546
est cost	0
roadName	Madhypara-Badarganj Road
chainage	3.532
width	11.9
constructionYear	2004
spans	1
zone	Rangpur
circle	Rangpur
division	Rangpur
sub-division	Rangpur-2
lat	25.588055555555556
lon	89.06055555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109546&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109546&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109546&vRoadID=132&vSurveyYear=2004&vSubdivID=288
