road	R557
km	0.129
type	Box Culvert
lrpName	LRPSb
name	.
length	1.38
condition	A
structureNr	109503
est cost	0
roadName	Madhypara-Badarganj Road
chainage	0.129
width	9.65
constructionYear	2002
spans	1
zone	Rangpur
circle	Rangpur
division	Rangpur
sub-division	Rangpur-2
lat	25.560277777777777
lon	89.05722222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109503&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109503&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109503&vRoadID=132&vSurveyYear=2004&vSubdivID=288
