road	R202
km	6.165
type	Box Culvert
lrpName	LRP006b
name	KINDAPARA BOX CULVERT
length	6
condition	A
structureNr	102261
est cost	0
roadName	Bhulta-Rupganj-Kayetpara-Rampura Road
chainage	6.165
width	21.3
constructionYear	2001
spans	1
zone	Dhaka
circle	Dhaka
division	Narayanganj
sub-division	Narayanganj-1
lat	23.83811111111111
lon	90.55941666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102261&vRoadID=91&vSurveyYear=2004&vSubdivID=520
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102261&vRoadID=91&vSurveyYear=2004&vSubdivID=520
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102261&vRoadID=91&vSurveyYear=2004&vSubdivID=520
