road	R558
km	1.134
type	Box Culvert
lrpName	LRP001a
name	.
length	1.38
condition	A
structureNr	109679
est cost	0
roadName	Maheshpur at R556 to Barapukuria Road
chainage	1.134
width	9.67
constructionYear	2000
spans	1
zone	Rangpur
circle	Dinajpur
division	Dinajpur
sub-division	Dinajpur
lat	25.52138888888889
lon	88.97222222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109679&vRoadID=133&vSurveyYear=2004&vSubdivID=296
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109679&vRoadID=133&vSurveyYear=2004&vSubdivID=296
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109679&vRoadID=133&vSurveyYear=2004&vSubdivID=296
