road	Z1013
km	1
type	Baily with Steel Deck
lrpName	LRP001a
name	.
length	18.4
condition	A
structureNr	118145
est cost	0
roadName	Tonkabati-Baro Aulia Road
chainage	1
width	4
constructionYear	1989
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	21.992222222222225
lon	92.19858333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118145&vRoadID=357&vSurveyYear=2006&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118145&vRoadID=357&vSurveyYear=2006&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118145&vRoadID=357&vSurveyYear=2006&vSubdivID=286
