road	R856
km	16.17
type	RCC Bridge
lrpName	LRP016a
name	
length	16.05
condition	A
structureNr	118990
est cost	0
roadName	Noapara (Katakhali)-Fakirhat-Mollahat Road
chainage	16.17
width	
constructionYear	
spans	
zone	Khulna
circle	Khulna
division	Bagerhat
sub-division	Bagerhat-2
lat	
lon	
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118990&vRoadID=162&vSurveyYear=2013&vSubdivID=320
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118990&vRoadID=162&vSurveyYear=2013&vSubdivID=320
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118990&vRoadID=162&vSurveyYear=2013&vSubdivID=320
