road	Z6022
km	12.15
type	Box Culvert
lrpName	LRP013a
name	.
length	1.6
condition	A
structureNr	117865
est cost	0
roadName	Ishwardi-Kadamchilan (Pabna-Natore Highway) Road
chainage	12.15
width	7.6
constructionYear	1998
spans	1
zone	Rajshahi
circle	Pabna
division	Pabna
sub-division	Pabna-2
lat	24.206
lon	89.09180555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117865&vRoadID=590&vSurveyYear=2006&vSubdivID=310
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117865&vRoadID=590&vSurveyYear=2006&vSubdivID=310
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117865&vRoadID=590&vSurveyYear=2006&vSubdivID=310
